Areaname,STCOU,EAN010201F,EAN010201D,EAN010201N1,EAN010201N2,EAN010202F,EAN010202D,EAN010202N1,EAN010202N2,EAN010203F,EAN010203D,EAN010203N1,EAN010203N2,EAN010204F,EAN010204D,EAN010204N1,EAN010204N2,EAN010205F,EAN010205D,EAN010205N1,EAN010205N2,EAN010206F,EAN010206D,EAN010206N1,EAN010206N2,EAN010207F,EAN010207D,EAN010207N1,EAN010207N2,EAN012204F,EAN012204D,EAN012204N1,EAN012204N2,EAN012205F,EAN012205D,EAN012205N1,EAN012205N2,EAN012206F,EAN012206D,EAN012206N1,EAN012206N2,EAN012207F,EAN012207D,EAN012207N1,EAN012207N2
"Hartford, CT",09003,0,31680530,0000,0000,0,32223045,0000,0000,0,32657297,0000,0000,0,35344324,0000,0000,0,37267788,0000,0000,0,38679701,0000,0000,0,40934072,0000,0000,0,57741,0000,0000,0,59773,0000,0000,0,61258,0000,0000,0,64143,0000,0000
"Litchfield, CT",09005,0,3425508,0000,0000,0,3447421,0000,0000,0,3537039,0000,0000,0,3637187,0000,0000,0,3789183,0000,0000,0,3937686,0000,0000,0,4001266,0000,0000,0,37648,0000,0000,0,38768,0000,0000,0,40003,0000,0000,0,40402,0000,0000
"Middlesex, CT",09007,0,3897746,0000,0000,0,4091282,0000,0000,0,4243623,0000,0000,0,4648905,0000,0000,0,4783045,0000,0000,0,5008124,0000,0000,0,5115732,0000,0000,0,48981,0000,0000,0,49386,0000,0000,0,51433,0000,0000,0,52085,0000,0000
"New Haven, CT",09009,0,20381287,0000,0000,0,21265489,0000,0000,0,21724058,0000,0000,0,23043680,0000,0000,0,23755289,0000,0000,0,24606410,0000,0000,0,25532065,0000,0000,0,47615,0000,0000,0,48539,0000,0000,0,49931,0000,0000,0,51498,0000,0000
"New London, CT",09011,0,6996976,0000,0000,0,7424679,0000,0000,0,7714726,0000,0000,0,8186394,0000,0000,0,8439848,0000,0000,0,8704004,0000,0000,0,9079416,0000,0000,0,48114,0000,0000,0,48635,0000,0000,0,50243,0000,0000,0,52186,0000,0000
"Tolland, CT",09013,0,1928459,0000,0000,0,2005508,0000,0000,0,2081377,0000,0000,0,2199411,0000,0000,0,2336667,0000,0000,0,2424808,0000,0000,0,2575282,0000,0000,0,36057,0000,0000,0,37370,0000,0000,0,38637,0000,0000,0,40306,0000,0000
"Windham, CT",09015,0,1719464,0000,0000,0,1752447,0000,0000,0,1822543,0000,0000,0,1869986,0000,0000,0,1951526,0000,0000,0,2037945,0000,0000,0,2086066,0000,0000,0,37071,0000,0000,0,37335,0000,0000,0,38345,0000,0000,0,38837,0000,0000
DELAWARE,10000,0,21407523,0000,0000,0,22595422,0000,0000,0,23550929,0000,0000,0,25200817,0000,0000,0,26838092,0000,0000,0,28067544,0000,0000,0,28746991,0000,0000,0,48277,0000,0000,0,50249,0000,0000,0,51771,0000,0000,0,52446,0000,0000
"Kent, DE",10001,0,2343148,0000,0000,0,2663024,0000,0000,0,2797026,0000,0000,0,3033932,0000,0000,0,3250546,0000,0000,0,3375859,0000,0000,0,3544198,0000,0000,0,37462,0000,0000,0,38391,0000,0000,0,39342,0000,0000,0,40539,0000,0000
"New Castle, DE",10003,0,16734058,0000,0000,0,17443531,0000,0000,0,18067718,0000,0000,0,19186694,0000,0000,0,20348220,0000,0000,0,21363185,0000,0000,0,21710561,0000,0000,0,54882,0000,0000,0,57434,0000,0000,0,59627,0000,0000,0,60152,0000,0000
"Sussex, DE",10005,0,2330317,0000,0000,0,2488867,0000,0000,0,2686185,0000,0000,0,2980191,0000,0000,0,3239326,0000,0000,0,3328500,0000,0000,0,3492232,0000,0000,0,32598,0000,0000,0,34047,0000,0000,0,33943,0000,0000,0,35001,0000,0000
DISTRICT OF COLUMBIA,11000,0,52644199,0000,0000,0,55074933,0000,0000,0,57450759,0000,0000,0,62288157,0000,0000,0,66061959,0000,0000,0,69669613,0000,0000,0,72997483,0000,0000,0,78883,0000,0000,0,82802,0000,0000,0,86481,0000,0000,0,89707,0000,0000
District of Columbia,11001,0,52644199,0000,0000,0,55074933,0000,0000,0,57450759,0000,0000,0,62288157,0000,0000,0,66061959,0000,0000,0,69669613,0000,0000,0,72997483,0000,0000,0,78883,0000,0000,0,82802,0000,0000,0,86481,0000,0000,0,89707,0000,0000
FLORIDA,12000,0,316135769,0000,0000,0,328703245,0000,0000,0,346315563,0000,0000,0,375315589,0000,0000,0,408543649,0000,0000,0,436311039,0000,0000,0,447432985,0000,0000,0,38397,0000,0000,0,40257,0000,0000,0,41475,0000,0000,0,41895,0000,0000
"Alachua, FL",12001,0,4427387,0000,0000,0,4570069,0000,0000,0,4723207,0000,0000,0,5392737,0000,0000,0,5764919,0000,0000,0,6110760,0000,0000,0,6354133,0000,0000,0,34405,0000,0000,0,36297,0000,0000,0,37659,0000,0000,0,39049,0000,0000
